POTID,ATTID,VALUE
CCNPOT0122,CCNATT0013,Đất nung
CCNPOT0122,CCNATT0009,"Nâu đất, trắng"
CCNPOT0122,CCNATT0020,Thổ cẩm
CCNPOT0122,CCNATT0021,25x20cm / 18x15cm
CCNPOT0123,CCNATT0013,Đất nung
CCNPOT0123,CCNATT0009,Nâu đất
CCNPOT0123,CCNATT0020,Sọc dọc
CCNPOT0123,CCNATT0021,35x24cm
CCNPOT0124,CCNATT0013,Đất nung
CCNPOT0124,CCNATT0009,Wax màu xám
CCNPOT0124,CCNATT0020,Kẻ xiên
CCNPOT0124,CCNATT0021,25x20cm / 18x15cm
CCNPOT0125,CCNATT0013,Đất nung
CCNPOT0125,CCNATT0009,Wax màu xám
CCNPOT0125,CCNATT0020,Kẻ xiên
CCNPOT0125,CCNATT0021,25x20cm
CCNPOT0126,CCNATT0013,Đất nung
CCNPOT0126,CCNATT0009,Nâu đất
CCNPOT0126,CCNATT0020,Kẻ xiên
CCNPOT0126,CCNATT0021,25x20cm
CCNPOT0127,CCNATT0013,Đất nung
CCNPOT0127,CCNATT0009,Nâu đất
CCNPOT0127,CCNATT0020,Sọc dọc
CCNPOT0127,CCNATT0021,25x20cm
CCNPOT0128,CCNATT0013,Đất nung
CCNPOT0128,CCNATT0009,Nâu đất
CCNPOT0128,CCNATT0020,Hoa cúc
CCNPOT0128,CCNATT0021,25x20cm
CCNPOT0129,CCNATT0013,Đất nung
CCNPOT0129,CCNATT0009,Nâu đất
CCNPOT0129,CCNATT0020,Hoa hồng
CCNPOT0129,CCNATT0021,25x20cm
CCNPOT0130,CCNATT0013,Đất nung
CCNPOT0130,CCNATT0009,Nâu trắng
CCNPOT0130,CCNATT0020,Thổ cẩm
CCNPOT0130,CCNATT0021,20x18cm
CCNPOT0131,CCNATT0013,Đất nung
CCNPOT0131,CCNATT0009,Xanh dương / Nâu đỏ / Xanh lá / Nâu đất
CCNPOT0131,CCNATT0020,Hoa cúc
CCNPOT0131,CCNATT0021,18x18cm
CCNPOT0132,CCNATT0013,Đất nung
CCNPOT0132,CCNATT0009,Xanh dương
CCNPOT0132,CCNATT0020,Thổ cẩm
CCNPOT0132,CCNATT0021,18x18cm
CCNPOT0133,CCNATT0013,Đất nung
CCNPOT0133,CCNATT0009,Nâu đất
CCNPOT0133,CCNATT0020,Trơn
CCNPOT0133,CCNATT0021,18x18cm
CCNPOT0134,CCNATT0013,Đất nung
CCNPOT0134,CCNATT0009,Nâu đất
CCNPOT0134,CCNATT0020,Đan hoa
CCNPOT0134,CCNATT0021,15x14cm
CCNPOT0135,CCNATT0013,Đất nung
CCNPOT0135,CCNATT0009,Nâu đất
CCNPOT0135,CCNATT0020,Kẻ chéo
CCNPOT0135,CCNATT0021,15x15cm
CCNPOT0136,CCNATT0013,Đất nung
CCNPOT0136,CCNATT0009,Nâu đất
CCNPOT0136,CCNATT0020,Gợn sóng
CCNPOT0136,CCNATT0021,15x15cm
CCNPOT0137,CCNATT0013,Đất nung
CCNPOT0137,CCNATT0009,Nâu đất
CCNPOT0137,CCNATT0020,Lưới
CCNPOT0137,CCNATT0021,29x26cm
CCNPOT0138,CCNATT0013,Đất nung
CCNPOT0138,CCNATT0009,Nâu đất
CCNPOT0138,CCNATT0020,Tường gạch
CCNPOT0138,CCNATT0021,29x26cm
CCNPOT0139,CCNATT0013,Đất nung
CCNPOT0139,CCNATT0009,Nâu đất
CCNPOT0139,CCNATT0020,Sọc ngang
CCNPOT0139,CCNATT0021,30x30cm
CCNPOT0140,CCNATT0013,Đất nung
CCNPOT0140,CCNATT0009,Nâu đất
CCNPOT0140,CCNATT0020,Thổ cẩm
CCNPOT0140,CCNATT0021,30x30cm
CCNPOT0141,CCNATT0013,Đất nung
CCNPOT0141,CCNATT0009,Nâu đất
CCNPOT0141,CCNATT0020,Dây quấn rối
CCNPOT0141,CCNATT0021,29x26cm
CCNPOT0142,CCNATT0013,Đất nung
CCNPOT0142,CCNATT0009,Nâu đất
CCNPOT0142,CCNATT0020,Hoa hồng
CCNPOT0142,CCNATT0021,14x14cm / 22x22cm / 28x28cm
CCNPOT0143,CCNATT0013,Đất nung
CCNPOT0143,CCNATT0009,Nâu đất
CCNPOT0143,CCNATT0020,Hoa
CCNPOT0143,CCNATT0021,25x28cm
CCNPOT0144,CCNATT0013,Đất nung
CCNPOT0144,CCNATT0009,Nâu đất
CCNPOT0144,CCNATT0020,Chấm tròn
CCNPOT0144,CCNATT0021,23x20cm
CCNPOT0145,CCNATT0013,Đất nung
CCNPOT0145,CCNATT0009,Nâu đất
CCNPOT0145,CCNATT0020,Dây quấn rối
CCNPOT0145,CCNATT0021,25x19cm
CCNPOT0146,CCNATT0013,Đất nung
CCNPOT0146,CCNATT0009,Kem đất
CCNPOT0146,CCNATT0020,Trơn
CCNPOT0146,CCNATT0021,11x11cm / 15x15cm / x 20x20cm / 25x25cm
CCNPOT0147,CCNATT0013,Đất nung
CCNPOT0147,CCNATT0009,Kem đất
CCNPOT0147,CCNATT0020,Trơn
CCNPOT0147,CCNATT0021,11x11cm / 15x15cm / x 20x20cm / 25x25cm
CCNPOT0148,CCNATT0013,Đất nung
CCNPOT0148,CCNATT0009,Nâu đất
CCNPOT0148,CCNATT0020,Da rắn
CCNPOT0148,CCNATT0021,30x30cm / 21x21cm / 15x15cm
CCNPOT0149,CCNATT0013,Đất nung
CCNPOT0149,CCNATT0009,Nâu đất
CCNPOT0149,CCNATT0020,Sọc chéo
CCNPOT0149,CCNATT0021,15x13cm
CCNPOT0150,CCNATT0013,Đất nung
CCNPOT0150,CCNATT0009,Nâu đất
CCNPOT0150,CCNATT0020,Vân lá
CCNPOT0150,CCNATT0021,15x14cm
CCNPOT0151,CCNATT0013,Đất nung
CCNPOT0151,CCNATT0009,Nâu đất
CCNPOT0151,CCNATT0020,Vân sọc nổi
CCNPOT0151,CCNATT0021,15x15cm
CCNPOT0152,CCNATT0013,Đất nung
CCNPOT0152,CCNATT0009,Trắng ngà
CCNPOT0152,CCNATT0020,Trơn
CCNPOT0152,CCNATT0021,13x13cm
CCNPOT0153,CCNATT0013,Đất nung
CCNPOT0153,CCNATT0009,Trắng ngà
CCNPOT0153,CCNATT0020,Trơn
CCNPOT0153,CCNATT0021,21x27cm / 26x32cm
CCNPOT0154,CCNATT0013,Đất nung
CCNPOT0154,CCNATT0009,Nâu đất
CCNPOT0154,CCNATT0020,Gân chéo
CCNPOT0154,CCNATT0021,14x13cm
CCNPOT0155,CCNATT0013,Đất nung
CCNPOT0155,CCNATT0009,Nâu đất
CCNPOT0155,CCNATT0020,Quấn rối
CCNPOT0155,CCNATT0021,18x16cm / 25x20cm
CCNPOT0156,CCNATT0013,Đất nung
CCNPOT0156,CCNATT0009,Nâu đậm
CCNPOT0156,CCNATT0020,Trơn
CCNPOT0156,CCNATT0021,24x23cm
CCNPOT0157,CCNATT0013,Đất nung
CCNPOT0157,CCNATT0009,Nâu đậm
CCNPOT0157,CCNATT0020,Trơn
CCNPOT0157,CCNATT0021,15x15cm / 20x20cm
CCNPOT0158,CCNATT0013,Đất nung
CCNPOT0158,CCNATT0009,Nâu đất
CCNPOT0158,CCNATT0020,Marble
CCNPOT0158,CCNATT0021,14x14cm
CCNPOT0159,CCNATT0013,Đất nung
CCNPOT0159,CCNATT0009,Nâu kem
CCNPOT0159,CCNATT0020,Marble
CCNPOT0159,CCNATT0021,18x18cm
CCNPOT0160,CCNATT0013,Đất nung
CCNPOT0160,CCNATT0009,Nâu đất
CCNPOT0160,CCNATT0020,Gân sọc
CCNPOT0160,CCNATT0021,14x14cm
CCNPOT0161,CCNATT0013,Đất nung
CCNPOT0161,CCNATT0009,Nâu đất
CCNPOT0161,CCNATT0020,Tổ ong
CCNPOT0161,CCNATT0021,17x17cm
CCNPOT0162,CCNATT0013,Đất nung
CCNPOT0162,CCNATT0009,Nâu đất
CCNPOT0162,CCNATT0020,Gợn sóng
CCNPOT0162,CCNATT0021,12x11cm
CCNPOT0163,CCNATT0013,Đất nung
CCNPOT0163,CCNATT0009,Nâu đất
CCNPOT0163,CCNATT0020,Sọc caro
CCNPOT0163,CCNATT0021,12x11cm
CCNPOT0164,CCNATT0013,Đất nung
CCNPOT0164,CCNATT0009,Nâu đất
CCNPOT0164,CCNATT0020,Sọc chéo
CCNPOT0164,CCNATT0021,12x11cm
CCNPOT0165,CCNATT0013,Đất nung
CCNPOT0165,CCNATT0009,Nâu đất
CCNPOT0165,CCNATT0020,Kim cương
CCNPOT0165,CCNATT0021,12x11cm
CCNPOT0166,CCNATT0013,Đất nung
CCNPOT0166,CCNATT0009,Nâu đất
CCNPOT0166,CCNATT0020,Kim cương
CCNPOT0166,CCNATT0021,12x11cm
CCNPOT0167,CCNATT0013,Đất nung
CCNPOT0167,CCNATT0009,Nâu đất
CCNPOT0167,CCNATT0020,Tổ ong
CCNPOT0167,CCNATT0021,12x11cm
CCNPOT0168,CCNATT0013,Đất nung
CCNPOT0168,CCNATT0009,Nâu đất
CCNPOT0168,CCNATT0020,Tổ ong
CCNPOT0168,CCNATT0021,18x16cm
CCNPOT0169,CCNATT0013,Đất nung
CCNPOT0169,CCNATT0009,Nâu đất
CCNPOT0169,CCNATT0020,Tổ ong
CCNPOT0169,CCNATT0021,15x14cm
CCNPOT0170,CCNATT0013,Đất nung
CCNPOT0170,CCNATT0009,Nâu đất
CCNPOT0170,CCNATT0020,Tổ ong
CCNPOT0170,CCNATT0021,23x20cm
CCNPOT0171,CCNATT0013,Đất nung
CCNPOT0171,CCNATT0009,Nâu đất
CCNPOT0171,CCNATT0020,Gợn sóng
CCNPOT0171,CCNATT0021,23x20cm
CCNPOT0172,CCNATT0013,Đất nung
CCNPOT0172,CCNATT0009,Nâu đất
CCNPOT0172,CCNATT0020,Sọc kẻ
CCNPOT0172,CCNATT0021,25x18cm
CCNPOT0173,CCNATT0013,Đất nung
CCNPOT0173,CCNATT0009,Nâu đất
CCNPOT0173,CCNATT0020,Đan chéo
CCNPOT0173,CCNATT0021,23x24cm
CCNPOT0174,CCNATT0013,Đất nung
CCNPOT0174,CCNATT0009,Nâu đất
CCNPOT0174,CCNATT0020,Đan chéo
CCNPOT0174,CCNATT0021,14.5x13cm
CCNPOT0175,CCNATT0013,Đất nung
CCNPOT0175,CCNATT0009,Nâu đất
CCNPOT0175,CCNATT0020,Đan chéo
CCNPOT0175,CCNATT0021,14x13cm
CCNPOT0176,CCNATT0013,Đất nung
CCNPOT0176,CCNATT0009,Nâu đất
CCNPOT0176,CCNATT0020,Đan chéo
CCNPOT0176,CCNATT0021,14x13cm
CCNPOT0177,CCNATT0013,Đất nung
CCNPOT0177,CCNATT0009,Nâu đất
CCNPOT0177,CCNATT0020,Đan chéo
CCNPOT0177,CCNATT0021,23x17cm
CCNPOT0178,CCNATT0013,Đất nung
CCNPOT0178,CCNATT0009,Nâu đất
CCNPOT0178,CCNATT0020,Chấm bi
CCNPOT0178,CCNATT0021,15x15cm
CCNPOT0179,CCNATT0013,Đất nung
CCNPOT0179,CCNATT0009,Nâu đất
CCNPOT0179,CCNATT0020,Vân kẻ
CCNPOT0179,CCNATT0021,15x13cm / 11x9cm
CCNPOT0180,CCNATT0013,Đất nung
CCNPOT0180,CCNATT0009,Nâu đất
CCNPOT0180,CCNATT0020,Sọc đứng
CCNPOT0180,CCNATT0021,14.5x13cm
CCNPOT0181,CCNATT0013,Đất nung
CCNPOT0181,CCNATT0009,Nâu đất
CCNPOT0181,CCNATT0020,Sọc chéo
CCNPOT0181,CCNATT0021,16x14cm
CCNPOT0182,CCNATT0013,Đất nung
CCNPOT0182,CCNATT0009,Nâu đất
CCNPOT0182,CCNATT0020,Sọc chéo
CCNPOT0182,CCNATT0021,15x15cm
CCNPOT0183,CCNATT0013,Đất nung
CCNPOT0183,CCNATT0009,Nâu đất
CCNPOT0183,CCNATT0020,Sọc kẻ ngang
CCNPOT0183,CCNATT0021,23x24cm / 27x29cm
CCNPOT0184,CCNATT0013,Đất nung
CCNPOT0184,CCNATT0009,Nâu đất
CCNPOT0184,CCNATT0020,Trơn
CCNPOT0184,CCNATT0021,28x28cm
CCNPOT0185,CCNATT0013,Đất nung
CCNPOT0185,CCNATT0009,Nâu đất
CCNPOT0185,CCNATT0020,Trơn
CCNPOT0185,CCNATT0021,15x13cm / 11x9cm
CCNPOT0186,CCNATT0013,Đất nung
CCNPOT0186,CCNATT0009,Nâu đất
CCNPOT0186,CCNATT0020,Giọt nước
CCNPOT0186,CCNATT0021,18x16cm
CCNPOT0187,CCNATT0013,Đất nung
CCNPOT0187,CCNATT0009,Nâu đất
CCNPOT0187,CCNATT0020,Xoắn
CCNPOT0187,CCNATT0021,17x17cm
CCNPOT0188,CCNATT0013,Đất nung
CCNPOT0188,CCNATT0009,Nâu đất
CCNPOT0188,CCNATT0020,Giọt nước
CCNPOT0188,CCNATT0021,30x25cm / 23x20cm
CCNPOT0189,CCNATT0013,Đất nung
CCNPOT0189,CCNATT0009,Nâu đất
CCNPOT0189,CCNATT0020,Giọt nước
CCNPOT0189,CCNATT0021,18x19cm
CCNPOT0190,CCNATT0013,Đất nung
CCNPOT0190,CCNATT0009,Nâu đất
CCNPOT0190,CCNATT0020,Da rắn
CCNPOT0190,CCNATT0021,25x18cm
CCNPOT0191,CCNATT0013,Đất nung
CCNPOT0191,CCNATT0009,Nâu đất
CCNPOT0191,CCNATT0020,Trơn
CCNPOT0191,CCNATT0021,17×15 / 17×17 / 19×20 / 25×25 / 20×27 / 25×32
CCNPOT0192,CCNATT0013,Đất nung
CCNPOT0192,CCNATT0009,Nâu đất
CCNPOT0192,CCNATT0020,Tường gạch
CCNPOT0192,CCNATT0021,25cm (ngang) – 25cm (cao)
CCNPOT0193,CCNATT0013,Đất nung
CCNPOT0193,CCNATT0009,Nâu Đất / Xanh lá / Xanh lam / Xám / Hồng Trắng
CCNPOT0193,CCNATT0020,Tường gạch
CCNPOT0193,CCNATT0021,17cm (ngang) – 16cm (cao)
CCNPOT0194,CCNATT0013,Đất nung
CCNPOT0194,CCNATT0009,Đen / Xám
CCNPOT0194,CCNATT0020,Kẻ sọc
CCNPOT0194,CCNATT0021,"14,5cm (ngang) – 13.5cm (cao)"
CCNPOT0195,CCNATT0013,Đất nung
CCNPOT0195,CCNATT0009,Đen / Trắng / Xám / Hồng / Xanh Dương
CCNPOT0195,CCNATT0020,Chấm tròn
CCNPOT0195,CCNATT0021,"15cm (ngang) – 13.5cm (cao)
12,5cm (ngang) – 11cm (cao)
8cm (ngang) – 7cm (cao)"
CCNPOT0196,CCNATT0013,Đất nung
CCNPOT0196,CCNATT0009,Đỏ gạch / Vàng / Hồng đào / Tím Pastel
CCNPOT0196,CCNATT0020,Vỏ sò
CCNPOT0196,CCNATT0021,18cm (ngang) – 16cm (cao)
CCNPOT0197,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0197,CCNATT0009,Xanh đen
CCNPOT0197,CCNATT0022,"• Kích thước: 15.9 x 12.8 x 2.5 (cm)
• Trọng lượng: 27 (g)"
CCNPOT0197,CCNATT0023,"• Kích thước: 23.6 x 19.5 x 3.5 (cm)
• Trọng lượng: 83 (g)"
CCNPOT0197,CCNATT0024,"• Kích thước: 23.6 x 22 x 3.9 (cm)
• Trọng lượng: 112 (g)"
CCNPOT0197,CCNATT0025,"• Kích thước: 36cm x 30.5cm x 4cm
• Trọng lượng: 196g"
CCNPOT0198,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0198,CCNATT0009,Xanh tự nhiên
CCNPOT0198,CCNATT0022,"• Kích thước: 15.9 x 12.8 x 2.5 (cm)
• Trọng lượng: 27 (g)"
CCNPOT0198,CCNATT0023,"• Kích thước: 23.6 x 19.5 x 3.5 (cm)
• Trọng lượng: 83 (g)"
CCNPOT0198,CCNATT0024,"• Kích thước: 23.6 x 22 x 3.9 (cm)
• Trọng lượng: 112 (g)"
CCNPOT0198,CCNATT0025,"• Kích thước: 36cm x 30.5cm x 4cm
• Trọng lượng: 196g"
CCNPOT0199,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0199,CCNATT0009,Xanh tự nhiên
CCNPOT0199,CCNATT0026,"• Kích thước: 21.3 x 17.6 x 2.4 (cm)
• Trọng lượng: 62.3 (g)"
CCNPOT0199,CCNATT0027,"• Kích thước: 25.2 x 20.8 x 3 (cm)
• Trọng lượng: 92.8 (g)"
CCNPOT0199,CCNATT0028,"• Kích thước: 29 x 23 x 3.4 (cm)
• Trọng lượng: 136 (g)"
CCNPOT0200,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0200,CCNATT0009,Xanh tự nhiên
CCNPOT0200,CCNATT0029,24.5 (cm)
CCNPOT0200,CCNATT0030,18.3 (cm)
CCNPOT0200,CCNATT0031,14 (cm)
CCNPOT0200,CCNATT0032,40.5 (cm)
CCNPOT0200,CCNATT0033,196 (g)
CCNPOT0201,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0201,CCNATT0009,Xanh tự nhiên
CCNPOT0201,CCNATT0029,20.5 (cm)
CCNPOT0201,CCNATT0030,15.5 (cm)
CCNPOT0201,CCNATT0031,13.8 (cm)
CCNPOT0201,CCNATT0032,40.5 (cm)
CCNPOT0201,CCNATT0033,146 (g)
CCNPOT0202,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0202,CCNATT0009,Xanh tự nhiên
CCNPOT0202,CCNATT0029,16.5 (cm)
CCNPOT0202,CCNATT0030,12.5 (cm)
CCNPOT0202,CCNATT0031,12.8 (cm)
CCNPOT0202,CCNATT0032,37.5 (cm)
CCNPOT0202,CCNATT0033,105 (g)
CCNPOT0203,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0203,CCNATT0017,410 (g)
CCNPOT0203,CCNATT0009,Đen
CCNPOT0203,CCNATT0002,28x22x31 (cm)
CCNPOT0203,CCNATT0035,19 (lít)
CCNPOT0204,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0204,CCNATT0017,276 (g)
CCNPOT0204,CCNATT0009,Đen
CCNPOT0204,CCNATT0002,24.5×19.5×26.5 (cm)
CCNPOT0204,CCNATT0035,11.5 (lít)
CCNPOT0205,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0205,CCNATT0017,84 (g)
CCNPOT0205,CCNATT0009,Đen
CCNPOT0205,CCNATT0002,16×12.8×17.5 (cm)
CCNPOT0205,CCNATT0035,3.8 (lít)
CCNPOT0206,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0206,CCNATT0017,960 (g)
CCNPOT0206,CCNATT0009,Xanh tự nhiên
CCNPOT0206,CCNATT0002,38×30.5×40.5 (cm)
CCNPOT0206,CCNATT0035,35 (lít)
CCNPOT0207,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0207,CCNATT0017,410 (g)
CCNPOT0207,CCNATT0009,Xanh tự nhiên
CCNPOT0207,CCNATT0002,28x22x31 (cm)
CCNPOT0207,CCNATT0035,19 (lít)
CCNPOT0208,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0208,CCNATT0017,276 (g)
CCNPOT0208,CCNATT0009,Xanh tự nhiên
CCNPOT0208,CCNATT0002,24.5×19.5×26.5 (cm)
CCNPOT0208,CCNATT0035,11.5 (lít)
CCNPOT0209,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0209,CCNATT0017,84 (g)
CCNPOT0209,CCNATT0009,Xanh tự nhiên
CCNPOT0209,CCNATT0002,16×12.8×17.5 (cm)
CCNPOT0209,CCNATT0035,3.8 (lít)
CCNPOT0210,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0210,CCNATT0017,390 (g)
CCNPOT0210,CCNATT0009,Xanh tự nhiên
CCNPOT0210,CCNATT0002,30x30x22.6 (cm)
CCNPOT0210,CCNATT0035,14 (lít)
CCNPOT0211,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0211,CCNATT0017,245 (g)
CCNPOT0211,CCNATT0009,Xanh tự nhiên
CCNPOT0211,CCNATT0002,26x26x19.7 (cm)
CCNPOT0211,CCNATT0035,12 (lít)
CCNPOT0212,CCNATT0013,Nhựa dẻo cao cấp
CCNPOT0212,CCNATT0017,169 (g)
CCNPOT0212,CCNATT0009,Xanh tự nhiên
CCNPOT0212,CCNATT0002,22x22x16.7 (cm)
CCNPOT0212,CCNATT0035,7.7 (lít)
CCNPOT0213,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0213,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0213,CCNATT0016,"• 28×45 (cm)
• 32×55 (cm)
• 36×45 (cm)
• 36×65 (cm)
• 43×65 (cm)"
CCNPOT0213,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0214,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0214,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0214,CCNATT0016,"• 25×50 (cm)
• 30×50 (cm)
• 30×60 (cm)
• 35×50 (cm)
• 35×70 (cm)
• 40×80 (cm)"
CCNPOT0214,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0215,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0215,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0215,CCNATT0016,"• 30×50 (cm)
• 30×60 (cm)
• 35×60 (cm)
• 40×60 (cm)
• 40×80 (cm)"
CCNPOT0215,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0216,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0216,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0216,CCNATT0016,"• 20×20 (cm)
• 25×25 (cm)
• 30×30 (cm)
• 40×40 (cm)
• 50×50 (cm)
• 60×60 (cm)"
CCNPOT0216,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0217,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0217,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0217,CCNATT0016,34×34 (cm)
CCNPOT0217,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0219,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0219,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0219,CCNATT0016,"• 60x30x30 (cm)
• 70x20x20 (cm)
• 80x30x30 (cm)
• 80x40x40 (cm)
• 100x40x40 (cm)
• 100x50x40 (cm)"
CCNPOT0219,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0220,CCNATT0013,"Xi măng, đá cẩm thạch"
CCNPOT0220,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0220,CCNATT0016,"• 30×60 (cm)
• 40×100 (cm)"
CCNPOT0220,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0221,CCNATT0013,Đất nung
CCNPOT0221,CCNATT0009,Nâu đất
CCNPOT0221,CCNATT0020,Hoa cúc
CCNPOT0221,CCNATT0021,21x21cm
