POTID,ATTID,VALUE
CCNPOT0022,CCNATT0013,"Xi măng, đá mài"
CCNPOT0022,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0022,CCNATT0016,29×39 (cm)
CCNPOT0022,CCNATT0009,Màu xám
CCNPOT0022,CCNATT0020,Đá mài
CCNPOT0023,CCNATT0013,"Xi măng, đá mài"
CCNPOT0023,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0023,CCNATT0016,29×39 (cm)
CCNPOT0023,CCNATT0009,Màu xám
CCNPOT0023,CCNATT0020,Đá mài
CCNPOT0024,CCNATT0013,"Xi măng, đá mài"
CCNPOT0024,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0024,CCNATT0016,40×40 (cm)
CCNPOT0024,CCNATT0009,Màu xám
CCNPOT0024,CCNATT0020,"Zig zac, đá mài"
CCNPOT0025,CCNATT0013,Gốm sứ
CCNPOT0025,CCNATT0009,"Đỏ, vàng"
CCNPOT0025,CCNATT0020,Gân nổi
CCNPOT0025,CCNATT0021,12x12cm (DxC)
CCNPOT0026,CCNATT0013,Gốm sứ
CCNPOT0026,CCNATT0009,"Đỏ, vàng"
CCNPOT0026,CCNATT0020,In chữ ‘tài lộc’
CCNPOT0026,CCNATT0021,12x12cm (DxC)
CCNPOT0027,CCNATT0013,"Xi măng, đá mài"
CCNPOT0027,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0027,CCNATT0016,40×40 (cm)
CCNPOT0027,CCNATT0009,"• Trắng (+50k)
• Đen (+50k)
• Xám"
CCNPOT0028,CCNATT0013,"Xi măng, đá mài"
CCNPOT0028,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0028,CCNATT0016,40×40 (cm)
CCNPOT0028,CCNATT0009,"• Trắng (+30k)
• Đen
• Xám"
CCNPOT0029,CCNATT0013,"Xi măng, đá mài"
CCNPOT0029,CCNATT0015,Tấm lưới thủy tinh
CCNPOT0029,CCNATT0016,34×42 (cm)
CCNPOT0029,CCNATT0009,"• Trắng (+50k)
• Đen (+50k)
• Xám"
CCNPOT0030,CCNATT0013,Xi măng đá mài
CCNPOT0030,CCNATT0015,Khung sắt
CCNPOT0030,CCNATT0016,• 20×35 (cm)
CCNPOT0030,CCNATT0009,"• Trắng
• Đen
• Xám"
CCNPOT0031,CCNATT0013,Đất nung sơn
CCNPOT0031,CCNATT0009,Xanh
CCNPOT0031,CCNATT0020,Hoa cúc
CCNPOT0031,CCNATT0021,32×25 / 19×16 / 16×13 cm(DxC)
CCNPOT0032,CCNATT0013,Đất nung sơn
CCNPOT0032,CCNATT0009,Màu mộc
CCNPOT0032,CCNATT0020,Sọc ngang
CCNPOT0032,CCNATT0021,18×18 cm(DxC)
CCNPOT0033,CCNATT0013,Đất nung sơn
CCNPOT0033,CCNATT0009,Đen nhám
CCNPOT0033,CCNATT0020,Trơn
CCNPOT0033,CCNATT0021,17×15 cm(DxC)
CCNPOT0034,CCNATT0013,Đất nung sơn
CCNPOT0034,CCNATT0009,Xanh
CCNPOT0034,CCNATT0020,Hoa cúc
CCNPOT0034,CCNATT0021,18×30 / 25x34cm (DxC)
CCNPOT0035,CCNATT0013,Đất nung sơn
CCNPOT0035,CCNATT0009,Xanh
CCNPOT0035,CCNATT0020,Gân kẻ ngang
CCNPOT0035,CCNATT0021,20x17cm (DxC)
CCNPOT0036,CCNATT0013,Đất nung sơn nhám
CCNPOT0036,CCNATT0009,Xám
CCNPOT0036,CCNATT0020,Gân nổi
CCNPOT0036,CCNATT0021,20x20cm (DxC)
CCNPOT0037,CCNATT0013,Đất nung sơn wax
CCNPOT0037,CCNATT0009,Vàng kem
CCNPOT0037,CCNATT0020,Đa giác
CCNPOT0037,CCNATT0021,15x14cm (DxC)
CCNPOT0038,CCNATT0013,Đất nung sơn wax
CCNPOT0038,CCNATT0009,Vàng kem
CCNPOT0038,CCNATT0020,Đa giác
CCNPOT0038,CCNATT0021,15x14cm (DxC)
CCNPOT0039,CCNATT0013,Gốm sứ
CCNPOT0039,CCNATT0009,Xanh ngọc
CCNPOT0039,CCNATT0020,Hoa cúc
CCNPOT0039,CCNATT0021,20x18cm (DxC)
CCNPOT0040,CCNATT0013,Đất nung sơn
CCNPOT0040,CCNATT0009,Trắng / Xanh lá
CCNPOT0040,CCNATT0020,Thổ cẩm
CCNPOT0040,CCNATT0021,17x17cm (DxC)
CCNPOT0041,CCNATT0013,Đất nung sơn
CCNPOT0041,CCNATT0009,Xanh dương
CCNPOT0041,CCNATT0020,Gân sọc kẻ
CCNPOT0041,CCNATT0021,16x15cm (DxC)
CCNPOT0042,CCNATT0013,Gốm sứ
CCNPOT0042,CCNATT0009,Hồng
CCNPOT0042,CCNATT0020,Trơn
CCNPOT0042,CCNATT0021,10x10cm (DxC)
CCNPOT0043,CCNATT0013,Gốm sứ
CCNPOT0043,CCNATT0009,Xanh dương / Xanh ngọc
CCNPOT0043,CCNATT0020,Thổ cẩm
CCNPOT0043,CCNATT0021,16×14 / 20x18cm (DxC)
CCNPOT0044,CCNATT0013,Gốm sứ
CCNPOT0044,CCNATT0009,Trắng
CCNPOT0044,CCNATT0020,Thổ cẩm
CCNPOT0044,CCNATT0021,20x18cm (DxC)
CCNPOT0045,CCNATT0013,Gốm sứ
CCNPOT0045,CCNATT0009,Trắng
CCNPOT0045,CCNATT0020,Gân dọc
CCNPOT0045,CCNATT0021,20x18cm (DxC)
CCNPOT0046,CCNATT0013,Gốm sứ
CCNPOT0046,CCNATT0009,Trắng
CCNPOT0046,CCNATT0020,Giọt nước
CCNPOT0046,CCNATT0021,20x18cm (DxC)
CCNPOT0047,CCNATT0013,Gốm sứ
CCNPOT0047,CCNATT0009,Trắng
CCNPOT0047,CCNATT0020,Tam giác
CCNPOT0047,CCNATT0021,20x18cm (DxC)
CCNPOT0048,CCNATT0013,Gốm sứ
CCNPOT0048,CCNATT0009,Nhiều màu sắc
CCNPOT0048,CCNATT0020,Tam giác
CCNPOT0048,CCNATT0021,18x15cm (DxC)
CCNPOT0049,CCNATT0013,Gốm sứ
CCNPOT0049,CCNATT0009,Trắng
CCNPOT0049,CCNATT0020,Chiếc lá
CCNPOT0049,CCNATT0021,20x18cm (DxC)
CCNPOT0050,CCNATT0013,"Gốm men rạn, men nhám"
CCNPOT0050,CCNATT0009,Vàng kem
CCNPOT0050,CCNATT0020,"Trơn nhám, gân sọc"
CCNPOT0050,CCNATT0021,16x14cm (DxC)
CCNPOT0051,CCNATT0013,Đất nung sơn
CCNPOT0051,CCNATT0009,Nhiều màu sắc
CCNPOT0051,CCNATT0020,Gân hoa trang trí
CCNPOT0051,CCNATT0021,15x15cm (DxC)
CCNPOT0052,CCNATT0013,Đất nung sơn
CCNPOT0052,CCNATT0009,Trắng
CCNPOT0052,CCNATT0020,Gân sọc
CCNPOT0052,CCNATT0021,"16×14,5cm (DxC)"
CCNPOT0053,CCNATT0013,Gốm sứ
CCNPOT0053,CCNATT0009,Xanh dương
CCNPOT0053,CCNATT0020,Trơn nhám
CCNPOT0053,CCNATT0021,"12,5x11cm (DxC)"
CCNPOT0054,CCNATT0013,Gốm sứ
CCNPOT0054,CCNATT0009,Xanh đại dương
CCNPOT0054,CCNATT0020,‘Caro’
CCNPOT0054,CCNATT0021,25x24cm (DxC)
CCNPOT0055,CCNATT0013,Gốm sứ
CCNPOT0055,CCNATT0009,Nhiều màu sắc
CCNPOT0055,CCNATT0020,‘Nhiệt đới’
CCNPOT0055,CCNATT0021,20x18cm (DxC)
CCNPOT0056,CCNATT0013,Gốm sứ
CCNPOT0056,CCNATT0009,Nhiều màu sắc
CCNPOT0056,CCNATT0020,‘Cầu vòng’
CCNPOT0056,CCNATT0021,17x17cm (DxC)
CCNPOT0057,CCNATT0013,Gốm sứ
CCNPOT0057,CCNATT0009,Nâu
CCNPOT0057,CCNATT0020,‘Nàng thơ’
CCNPOT0057,CCNATT0021,11x9cm (DxC)
CCNPOT0058,CCNATT0013,Đất nung sơn
CCNPOT0058,CCNATT0009,Vàng sáng / Vàng đồng
CCNPOT0058,CCNATT0020,Trơn
CCNPOT0058,CCNATT0021,13x13cm (DxC)
CCNPOT0059,CCNATT0013,Đất nung sơn
CCNPOT0059,CCNATT0009,Màu mộc
CCNPOT0059,CCNATT0020,Hoa cúc
CCNPOT0059,CCNATT0021,20×20 / 25×25 / 30x30cm (DxC)
CCNPOT0060,CCNATT0013,Gốm đất nung sơn
CCNPOT0060,CCNATT0009,"Xanh lá, trắng"
CCNPOT0060,CCNATT0020,Kim cương
CCNPOT0060,CCNATT0021,16×16 / 24×20 / 30x25cm (DxC)
CCNPOT0061,CCNATT0013,Gốm đất nung sơn
CCNPOT0061,CCNATT0009,Nâu / Trắng
CCNPOT0061,CCNATT0020,Giả đá
CCNPOT0061,CCNATT0021,30x30cm (DxC)
CCNPOT0062,CCNATT0013,Gốm đất nung sơn
CCNPOT0062,CCNATT0009,Nâu / Trắng
CCNPOT0062,CCNATT0020,Giả đá
CCNPOT0062,CCNATT0021,25x25cm (DxC)
CCNPOT0063,CCNATT0013,Gốm đất nung sơn
CCNPOT0063,CCNATT0009,Nâu / Trắng
CCNPOT0063,CCNATT0020,Giả đá
CCNPOT0063,CCNATT0021,20x20cm (DxC)
CCNPOT0064,CCNATT0013,Gốm đất nung sơn
CCNPOT0064,CCNATT0009,Đen
CCNPOT0064,CCNATT0020,Nhám
CCNPOT0064,CCNATT0021,18x16cm (DxC)
CCNPOT0065,CCNATT0013,Gốm đất nung sơn
CCNPOT0065,CCNATT0009,Trắng / Đen
CCNPOT0065,CCNATT0020,Gân sọc
CCNPOT0065,CCNATT0021,17x17cm (DxC)
CCNPOT0066,CCNATT0013,Đất nung sơn màu
CCNPOT0066,CCNATT0009,Trắng / Đen
CCNPOT0066,CCNATT0020,Gân nổi
CCNPOT0066,CCNATT0021,17×17 cm (DxC)
CCNPOT0067,CCNATT0013,Đất nung sơn bóng
CCNPOT0067,CCNATT0009,Trắng / Đen / Xanh lá
CCNPOT0067,CCNATT0020,Gân sọc
CCNPOT0067,CCNATT0021,17x17cm (DxC)
CCNPOT0068,CCNATT0013,Đất nung sơn màu
CCNPOT0068,CCNATT0009,Trắng / Đen
CCNPOT0068,CCNATT0020,Gân tam giác
CCNPOT0068,CCNATT0021,17×17 cm (DxC)
CCNPOT0069,CCNATT0013,Đất nung sơn màu
