CATEGORYID,PLANTID,CATEGORY
CCNCAT0009,CCNPLT0012,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0012,Cây Trong Nhà
CCNCAT0007,CCNPLT0012,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0013,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0013,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0013,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0013,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0013,Cây Phong Thủy
CCNCAT0004,CCNPLT0013,Cây Trong Nhà
CCNCAT0007,CCNPLT0013,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0014,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0014,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0014,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0014,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0014,Cây Phong Thủy
CCNCAT0004,CCNPLT0014,Cây Trong Nhà
CCNCAT0007,CCNPLT0014,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0015,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0015,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0015,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0015,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0015,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0015,Cây Phong Thủy
CCNCAT0004,CCNPLT0015,Cây Trong Nhà
CCNCAT0000,CCNPLT0016,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0016,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0016,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0016,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0016,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0016,Cây Phong Thủy
CCNCAT0004,CCNPLT0016,Cây Trong Nhà
CCNCAT0000,CCNPLT0017,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0017,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0017,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0017,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0017,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0017,Cây Phong Thủy
CCNCAT0008,CCNPLT0017,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0017,Cây Trong Nhà
CCNCAT0007,CCNPLT0017,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0018,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0018,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0018,Cây Dễ Trồng Trong Nhà
CCNCAT0012,CCNPLT0018,Cây Kiểng lá
CCNCAT0013,CCNPLT0018,Cây Nhiệt Đới
CCNCAT0004,CCNPLT0018,Cây Trong Nhà
CCNCAT0000,CCNPLT0019,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0019,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0019,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0019,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0019,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0019,Cây Phong Thủy
CCNCAT0008,CCNPLT0019,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0019,Cây Trong Nhà
CCNCAT0000,CCNPLT0020,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0020,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0020,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0020,Cây Dễ Trồng Trong Nhà
CCNCAT0004,CCNPLT0020,Cây Trong Nhà
CCNCAT0000,CCNPLT0021,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0021,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0021,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0021,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0021,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0021,Cây Phong Thủy
CCNCAT0004,CCNPLT0021,Cây Trong Nhà
CCNCAT0004,CCNPLT0022,Cây Trong Nhà
CCNCAT0014,CCNPLT0022,Cây Trồng Ban Công
CCNCAT0007,CCNPLT0022,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0022,Cây Trước Cửa & Hành Lang
CCNCAT0004,CCNPLT0023,Cây Trong Nhà
CCNCAT0005,CCNPLT0023,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0023,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0023,Cây Cảnh Để Bàn
CCNCAT0003,CCNPLT0023,Cây Phong Thủy
CCNCAT0007,CCNPLT0023,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0024,Cây Cảnh Văn Phòng
CCNCAT0011,CCNPLT0024,Cây Cao & Lớn Trong Nhà
CCNCAT0006,CCNPLT0024,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0024,Cây Phong Thủy
CCNCAT0009,CCNPLT0024,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0024,Cây Trong Nhà
CCNCAT0007,CCNPLT0024,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0024,Cây Trước Cửa & Hành Lang
CCNCAT0004,CCNPLT0025,Cây Trong Nhà
CCNCAT0005,CCNPLT0025,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0025,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0025,Cây Cảnh Để Bàn
CCNCAT0003,CCNPLT0025,Cây Phong Thủy
CCNCAT0007,CCNPLT0025,Cây Trong Phòng Khách
CCNCAT0004,CCNPLT0026,Cây Trong Nhà
CCNCAT0001,CCNPLT0026,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0026,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0026,Cây Phong Thủy
CCNCAT0000,CCNPLT0027,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0027,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0027,Cây Cảnh Văn Phòng
