PLANTID,ATTID,VALUE
CCNPLT0000,CCNATT0000,Podocarpus macrophyllus
CCNPLT0000,CCNATT0001,Cây tùng bồng lai
CCNPLT0000,CCNATT0002,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 50 cm
• Độ rộng tán: 30 cm"
CCNPLT0000,CCNATT0003,Trung bình
CCNPLT0000,CCNATT0004,Nắng trực tiếp / nắng tán xạ
CCNPLT0000,CCNATT0005,Tưới nước 1-2 lần/tuần
CCNPLT0001,CCNATT0000,Dracaena fragrans
CCNPLT0001,CCNATT0001,Phát tài bộ – Thiết Mộc lan
CCNPLT0001,CCNATT0002,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm"
CCNPLT0001,CCNATT0003,Dễ chăm sóc
CCNPLT0001,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0001,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0002,CCNATT0000,Pachira aquatica
CCNPLT0002,CCNATT0001,Cây kim ngân
CCNPLT0002,CCNATT0002,"• Kích thước chậu: 12×8 (DxC)
• Chiều cao tổng: 25cm"
CCNPLT0002,CCNATT0003,Dễ chăm sóc
CCNPLT0002,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0002,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0003,CCNATT0000,Philodendron Imperial Green
CCNPLT0003,CCNATT0001,Trầu bà đế vương xanh
CCNPLT0003,CCNATT0003,Rất dễ chăm sóc
CCNPLT0003,CCNATT0004,Nắng tán xạ
CCNPLT0003,CCNATT0005,Tưới nước 3 – 5 lần/tháng
CCNPLT0003,CCNATT0006,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm"
CCNPLT0004,CCNATT0000,Chlorophytum laxum
CCNPLT0004,CCNATT0001,Cây cỏ lan chi / cây dây nhện
CCNPLT0004,CCNATT0003,Rất dễ chăm sóc
CCNPLT0004,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0004,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0004,CCNATT0006,Chiều cao 30 cm
CCNPLT0005,CCNATT0000,Philodendron Imperial Red
CCNPLT0005,CCNATT0001,Trầu bà đế vương đỏ
CCNPLT0005,CCNATT0002,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 cm
• Độ rộng tán: 25 cm"
CCNPLT0005,CCNATT0003,Dễ chăm sóc
CCNPLT0005,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0005,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0006,CCNATT0000,Sansevieria ‘hahnii’ Black Gold
CCNPLT0006,CCNATT0001,Cây lưỡi hổ Thái xanh
CCNPLT0006,CCNATT0002,• Chiều cao: 30 – 45 cm
CCNPLT0006,CCNATT0003,Dễ chăm sóc
CCNPLT0006,CCNATT0004,Ánh sáng tán xạ / Chịu bóng râm tốt
CCNPLT0006,CCNATT0005,Thay nước 2 – 3 lần/tháng
CCNPLT0007,CCNATT0000,Radermachera Sinica
CCNPLT0007,CCNATT0001,Cây hạnh phúc
CCNPLT0007,CCNATT0002,"• Kích thước chậu: 30x34cm (DxC)
• Chiều cao tổng: 150cm"
CCNPLT0007,CCNATT0003,Dễ chăm sóc
CCNPLT0007,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0007,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0008,CCNATT0000,Epipremnum aureum
CCNPLT0008,CCNATT0001,Trầu bà xanh
CCNPLT0008,CCNATT0002,"• Chiều cao 130 – 140 cm
• Kích thước chậu: 30x58cm (DxC)"
CCNPLT0008,CCNATT0003,Dễ chăm sóc
CCNPLT0008,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0008,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0009,CCNATT0000,Anthurium andreanum
CCNPLT0009,CCNATT0001,Cây hồng môn
CCNPLT0009,CCNATT0002,"• Kích thước chậu: 14×11.5 cm (DxC)
• Chiều cao tổng: 30 – 40cm"
CCNPLT0009,CCNATT0003,Dễ chăm sóc
CCNPLT0009,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0009,CCNATT0005,Tưới nước 2 – 3 lần/lần
CCNPLT0010,CCNATT0000,Scheffera Octophylla
CCNPLT0010,CCNATT0001,Ngũ gia bì cẩm thạch
CCNPLT0010,CCNATT0002,Chiều cao tổng: 40 cm
CCNPLT0010,CCNATT0003,Dễ chăm sóc
CCNPLT0010,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0010,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0011,CCNATT0000,Pachira aquatica
CCNPLT0011,CCNATT0001,Cây kim ngân
CCNPLT0011,CCNATT0002,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm"
CCNPLT0011,CCNATT0003,Dễ chăm sóc
CCNPLT0011,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0011,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0012,CCNATT0000,Livistona chinensis
CCNPLT0012,CCNATT0001,Cọ lá xẻ
CCNPLT0012,CCNATT0002,"• Kích thước chậu: 14x14cm (DxC)
• Chiều cao chậu + cây: 25cm"
CCNPLT0012,CCNATT0003,Dễ chăm sóc
CCNPLT0012,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0012,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0013,CCNATT0000,Radermachera Sinica
CCNPLT0013,CCNATT0001,Cây hạnh phúc
CCNPLT0013,CCNATT0002,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 120cm"
CCNPLT0013,CCNATT0003,Dễ chăm sóc
CCNPLT0013,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0013,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0014,CCNATT0000,Radermachera Sinica
CCNPLT0014,CCNATT0001,Cây hạnh phúc
CCNPLT0014,CCNATT0002,"• Kích thước chậu: 23x23cm (DxC)
• Chiều cao tổng: 80-100cm"
CCNPLT0014,CCNATT0003,Dễ chăm sóc
CCNPLT0014,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0014,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0015,CCNATT0000,Pachira aquatica
CCNPLT0015,CCNATT0001,Cây kim ngân
CCNPLT0015,CCNATT0002,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm"
CCNPLT0015,CCNATT0003,Dễ chăm sóc
CCNPLT0015,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0015,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0016,CCNATT0000,Sansevieria ‘hahnii’ Black Gold
CCNPLT0016,CCNATT0001,Cây lưỡi hổ Thái xanh
CCNPLT0016,CCNATT0002,"• Kích thược 12×11 cm (DxC)
• Chiều cao: 10 – 15 cm"
CCNPLT0016,CCNATT0003,Dễ chăm sóc
CCNPLT0016,CCNATT0004,Ánh sáng tán xạ / Chịu bóng râm tốt
CCNPLT0016,CCNATT0005,Thay nước 2 – 3 lần/tháng
CCNPLT0017,CCNATT0000,Spathiphyllum Wallisii
CCNPLT0017,CCNATT0001,Lan ý
CCNPLT0017,CCNATT0002,Cao 30 – 40 cm
CCNPLT0017,CCNATT0003,Dễ chăm sóc
CCNPLT0017,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0017,CCNATT0005,"Ít nước, 2 – 3 lần/tuần"
CCNPLT0018,CCNATT0000,Aglaonema Red Siam
CCNPLT0018,CCNATT0001,Cây Phú Quý
CCNPLT0018,CCNATT0002,Chiều cao: 50cm – Chậu 20x20cm
CCNPLT0018,CCNATT0003,Dễ chăm sóc
CCNPLT0018,CCNATT0004,Ánh sáng tán xạ; Chịu được khuất sáng
CCNPLT0018,CCNATT0005,Vừa phải (2 lần/tuần)
CCNPLT0019,CCNATT0000,Philodendron Imperial Green
CCNPLT0019,CCNATT0001,Trầu bà đế vương xanh
CCNPLT0019,CCNATT0003,Rất dễ chăm sóc
CCNPLT0019,CCNATT0004,Nắng tán xạ
CCNPLT0019,CCNATT0005,Tưới nước 3 – 5 lần/tháng
CCNPLT0019,CCNATT0006,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm"
CCNPLT0020,CCNATT0000,Aglaonema Snow White
CCNPLT0020,CCNATT0001,Cây ngọc ngân
CCNPLT0020,CCNATT0002,"• Kích thước chậu: 18x16cm (DxC)
• Chiều cao: 20 – 30cm"
CCNPLT0020,CCNATT0003,Dễ chăm sóc
CCNPLT0020,CCNATT0004,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp
CCNPLT0020,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0021,CCNATT0000,Pachira aquatica
CCNPLT0021,CCNATT0001,Cây kim ngân
CCNPLT0021,CCNATT0002,"• Kích thước chậu: 15x14cm (DxC)
• Chiều cao tổng: 30 – 35 cm"
CCNPLT0021,CCNATT0003,Dễ chăm sóc
CCNPLT0021,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0021,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0022,CCNATT0000,Bucida Buceras Variegated
CCNPLT0022,CCNATT0001,Bàng Đài Loan cẩm thạch
CCNPLT0022,CCNATT0002,"• Kích thước chậu: 42×47 cm (DxC)
• Chiều cao tổng: 130–140 cm"
CCNPLT0022,CCNATT0003,Dễ chăm sóc
CCNPLT0022,CCNATT0004,Nắng trực tiếp / Nắng tán xạ
CCNPLT0022,CCNATT0005,Tưới nước 4 – 5 lần/tuần
CCNPLT0023,CCNATT0000,Radermachera Sinica
CCNPLT0023,CCNATT0001,Cây hạnh phúc
CCNPLT0023,CCNATT0002,"• Kích thước chậu: 20x15cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0023,CCNATT0003,Dễ chăm sóc
CCNPLT0023,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0023,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0024,CCNATT0000,Ficus lyrata
CCNPLT0024,CCNATT0001,Bàng Singapore / Sung tỳ bà
CCNPLT0024,CCNATT0003,Dễ chăm sóc
CCNPLT0024,CCNATT0004,Nắng trực tiếp / Ánh sáng tán xạ
CCNPLT0024,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0024,CCNATT0006,"• Kích thước chậu: 12×12 cm (DxC)
• Chiều cao tổng: 25 – 30 cm"
CCNPLT0025,CCNATT0000,Radermachera Sinica
CCNPLT0025,CCNATT0001,Cây hạnh phúc
CCNPLT0025,CCNATT0002,"• Kích thước chậu: 17x17cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0025,CCNATT0003,Dễ chăm sóc
CCNPLT0025,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0025,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0026,CCNATT0000,Zamioculcas Zamiifolia
CCNPLT0026,CCNATT0001,Cây kim tiền / Kim phát tài
CCNPLT0026,CCNATT0002,"• Kích thước chậu: 14×12 cm (DxC)
• Chiều cao tổng: 30 – 35 cm"
CCNPLT0026,CCNATT0003,Dễ chăm sóc
CCNPLT0026,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0026,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0027,CCNATT0000,Aglaonema ‘Red Anjamani’
CCNPLT0027,CCNATT0001,Cây hồng phát lộc
CCNPLT0027,CCNATT0002,"• Kích thước chậu: 9x12cm (DxC)
• Chiều cao: 30 – 35 cm"
CCNPLT0027,CCNATT0003,Dễ chăm sóc
CCNPLT0027,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0027,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0028,CCNATT0000,Peperomia obtusifolia
CCNPLT0028,CCNATT0001,Cây trường sinh
CCNPLT0028,CCNATT0003,Dễ chăm sóc
CCNPLT0028,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0028,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0028,CCNATT0006,"• Kích thước chậu: 14×14 cm (DxC)
• Chiều cao tổng: 30 cm"
CCNPLT0029,CCNATT0000,Philodendron Imperial Golden
CCNPLT0029,CCNATT0001,Cây trầu bà đế vương vàng
CCNPLT0029,CCNATT0002,"• Kích thước chậu: 15×12,5 (DxC)
• Chiều cao tổng: 35 – 40 cm"
CCNPLT0029,CCNATT0003,Dễ chăm sóc
CCNPLT0029,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0029,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0030,CCNATT0000,Aglaonema ‘Red Anjamani’
CCNPLT0030,CCNATT0001,Cây hồng phát lộc
CCNPLT0030,CCNATT0002,"• Kích thước chậu: 11x11cm
• Chiều cao: 30 – 35 cm"
CCNPLT0030,CCNATT0003,Dễ chăm sóc
CCNPLT0030,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0030,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0031,CCNATT0000,Pachira aquatica
CCNPLT0031,CCNATT0001,Cây kim ngân
CCNPLT0031,CCNATT0002,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng: cm"
CCNPLT0031,CCNATT0003,Dễ chăm sóc
CCNPLT0031,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0031,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0032,CCNATT0000,Sansevieria futura Superba
CCNPLT0032,CCNATT0001,Cây lưỡi hổ thái
CCNPLT0032,CCNATT0002,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 30 – 40 cm"
CCNPLT0032,CCNATT0003,Dễ chăm sóc
CCNPLT0032,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0032,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0033,CCNATT0000,Thaumatophyllum bipinnatifidum
CCNPLT0033,CCNATT0001,Cây trầu bà thanh xuân / Cây trầu bà tay Phật
CCNPLT0033,CCNATT0002,"• Kích thước chậu: 32×40 cm (ĐxC)
• Chiều cao 120 – 140cm
• Kích thước tán 90 – 100cm"
CCNPLT0033,CCNATT0003,Dễ chăm sóc
CCNPLT0033,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0033,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0034,CCNATT0000,Scheffera Octophylla
CCNPLT0034,CCNATT0001,Ngũ gia bì
CCNPLT0034,CCNATT0002,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 40-50 cm"
CCNPLT0034,CCNATT0003,Dễ chăm sóc
CCNPLT0034,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0034,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0035,CCNATT0000,Dracaena draco
CCNPLT0035,CCNATT0001,Phát tài núi
CCNPLT0035,CCNATT0002,"• Kích thước chậu: 38.5x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm"
CCNPLT0035,CCNATT0003,Dễ chăm sóc
CCNPLT0035,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0035,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0036,CCNATT0000,Podocarpus macrophyllus
CCNPLT0036,CCNATT0001,Cây tùng bồng lai
CCNPLT0036,CCNATT0002,"• Kích thước chậu: 35x15cm (DxC)
• Chiều cao tổng: 55 cm
• Độ rộng tán: 45 cm"
CCNPLT0036,CCNATT0003,Trung bình
CCNPLT0036,CCNATT0004,Nắng trực tiếp / nắng tán xạ
CCNPLT0036,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0037,CCNATT0000,Philodendron Imperial Red
CCNPLT0037,CCNATT0001,Trầu bà đế vương đỏ
CCNPLT0037,CCNATT0002,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng:  cm
• Độ rộng tán: cm"
CCNPLT0037,CCNATT0003,Dễ chăm sóc
CCNPLT0037,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0037,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0038,CCNATT0000,Pachira aquatica
CCNPLT0038,CCNATT0001,Cây kim ngân
CCNPLT0038,CCNATT0002,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng: cm"
CCNPLT0038,CCNATT0003,Dễ chăm sóc
CCNPLT0038,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0038,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0039,CCNATT0000,Hedera Helix
CCNPLT0039,CCNATT0001,Cây thường xuân cẩm thạch
CCNPLT0039,CCNATT0002,Chậu ươm 10×10
CCNPLT0039,CCNATT0003,Trung bình
CCNPLT0039,CCNATT0004,"Ít nắng, trồng nơi râm mát"
CCNPLT0039,CCNATT0005,Tưới nước 4 – 5 lần/tuần
CCNPLT0040,CCNATT0000,Philodendron billietiae
CCNPLT0040,CCNATT0001,Cây hồng hạc chân cam
CCNPLT0040,CCNATT0002,"• Kích thước chậu: 32×25 cm (DxC)
• Kích thước lá: 35 ~ 40 cm"
CCNPLT0040,CCNATT0003,Dễ chăm sóc
CCNPLT0040,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0040,CCNATT0005,"Ít nước, 2 – 3 lần/tuần"
CCNPLT0041,CCNATT0000,Ficus lyrata
CCNPLT0041,CCNATT0001,Bàng Singapore / Sung tỳ bà
CCNPLT0041,CCNATT0003,Dễ chăm sóc
CCNPLT0041,CCNATT0004,Nắng trực tiếp / Ánh sáng tán xạ
CCNPLT0041,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0041,CCNATT0006,"• Kích thước chậu: 37×37 cm (DxC)
• Chiều cao tổng: 100 – 120 cm"
CCNPLT0042,CCNATT0000,Ficus lyrata
CCNPLT0042,CCNATT0001,Bàng Singapore / Sung tỳ bà
CCNPLT0042,CCNATT0003,Dễ chăm sóc
CCNPLT0042,CCNATT0004,Nắng trực tiếp / Ánh sáng tán xạ
CCNPLT0042,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0042,CCNATT0006,"• Kích thước chậu: 50×47 cm (DxC)
• Chiều cao tổng: 180 – 200 cm"
CCNPLT0043,CCNATT0000,Ficus Elastica Tineke
CCNPLT0043,CCNATT0001,Đa búp đỏ cẩm thạch
CCNPLT0043,CCNATT0002,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 110 – 120cm"
CCNPLT0043,CCNATT0003,Rất dễ chăm sóc
CCNPLT0043,CCNATT0004,Ánh sáng tán xạ
CCNPLT0043,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0044,CCNATT0000,Scheffera Octophylla
CCNPLT0044,CCNATT0001,Ngũ gia bì
CCNPLT0044,CCNATT0002,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 20 – 24cm"
CCNPLT0044,CCNATT0003,Dễ chăm sóc
CCNPLT0044,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0044,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0045,CCNATT0000,Dracaena fragrans ‘Compacta’
CCNPLT0045,CCNATT0001,Trúc mặt trời / Phát tài Nhật
CCNPLT0045,CCNATT0002,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 20 – 30 cm"
CCNPLT0045,CCNATT0003,Dễ chăm sóc
CCNPLT0045,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0045,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0046,CCNATT0000,Alocasia Dragon Scale
CCNPLT0046,CCNATT0001,Môn vảy rồng
CCNPLT0046,CCNATT0002,"• Kích thước chậu: 15x15cm (DxC)
• Chiều cao tổng: 30 – 32 cm"
CCNPLT0046,CCNATT0003,Dễ chăm sóc
CCNPLT0046,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0046,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0047,CCNATT0000,Peperomia obtusifolia
CCNPLT0047,CCNATT0001,Cây trường sinh
CCNPLT0047,CCNATT0003,Dễ chăm sóc
CCNPLT0047,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0047,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0047,CCNATT0006,"• Kích thước chậu: 18×18 cm (DxC)
• Chiều cao tổng: 40 cm"
CCNPLT0048,CCNATT0000,Pachira aquatica
CCNPLT0048,CCNATT0001,Cây kim ngân
CCNPLT0048,CCNATT0002,"• Kích thước chậu: 13,5x10cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0048,CCNATT0003,Dễ chăm sóc
CCNPLT0048,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0048,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0049,CCNATT0000,Radermachera Sinica
CCNPLT0049,CCNATT0001,Cây hạnh phúc
CCNPLT0049,CCNATT0002,"• Kích thước chậu: 25x21cm (DxC)
• Chiều cao tổng: 80 – 90cm"
CCNPLT0049,CCNATT0003,Dễ chăm sóc
CCNPLT0049,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0049,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0050,CCNATT0000,Nageia fleuryi
CCNPLT0050,CCNATT0001,Cây kim giao
CCNPLT0050,CCNATT0002,"• Kích thước chậu: 15x12cm (DxC)
• Chiều cao tổng 25 – 30 cm"
CCNPLT0050,CCNATT0003,Dễ chăm sóc
CCNPLT0050,CCNATT0004,Nắng tán xạ / Chịu được nắng trực tiếp
CCNPLT0050,CCNATT0005,Tưới nước 2 – 3 lần/ngày
CCNPLT0051,CCNATT0000,Dracaena ‘Green Jewel’
CCNPLT0051,CCNATT0001,Cây phát tài xanh
CCNPLT0051,CCNATT0003,Dễ chăm sóc
CCNPLT0051,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0051,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0051,CCNATT0006,Chiều cao tổng 40 – 60 cm
CCNPLT0052,CCNATT0000,Pachira aquatica
CCNPLT0052,CCNATT0001,Cây kim ngân
CCNPLT0052,CCNATT0002,"• Kích thước chậu: 15x14cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0052,CCNATT0003,Dễ chăm sóc
CCNPLT0052,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0052,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0053,CCNATT0000,Radermachera Sinica
CCNPLT0053,CCNATT0001,Cây hạnh phúc
CCNPLT0053,CCNATT0002,"• Kích thước chậu: 15×18,5cm (DxC)
• Chiều cao tổng: 40 – 45cm"
CCNPLT0053,CCNATT0003,Dễ chăm sóc
CCNPLT0053,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0053,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0054,CCNATT0000,Pachira aquatica
CCNPLT0054,CCNATT0001,Cây kim ngân
CCNPLT0054,CCNATT0002,"• Kích thước chậu: 14,5x12cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0054,CCNATT0003,Dễ chăm sóc
CCNPLT0054,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0054,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0055,CCNATT0000,Sansevieria trifasciata Gold Flame
CCNPLT0055,CCNATT0001,Cây lưỡi hổ hoàng kim
CCNPLT0055,CCNATT0002,"• Kích thước chậu: 11×10 cm (DxC)
• Chiều cao: 40 cm
• Số lượng thân: 1 thân"
CCNPLT0055,CCNATT0003,Dễ chăm sóc
CCNPLT0055,CCNATT0004,Ánh sáng tán xạ; Bóng râm; Chịu được bóng râm
CCNPLT0055,CCNATT0005,Tưới nước 1 lần/tuần
CCNPLT0056,CCNATT0000,Philodendron Imperial Green
CCNPLT0056,CCNATT0001,Trầu bà đế vương xanh
CCNPLT0056,CCNATT0003,Rất dễ chăm sóc
CCNPLT0056,CCNATT0004,Nắng tán xạ
CCNPLT0056,CCNATT0005,Tưới nước 3 – 3 lần/tháng
CCNPLT0056,CCNATT0006,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm"
CCNPLT0057,CCNATT0000,Philodendron Birkin
CCNPLT0057,CCNATT0001,Trầu bà đế vương kim cương
CCNPLT0057,CCNATT0002,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 35 cm"
CCNPLT0057,CCNATT0003,Dễ chăm sóc
CCNPLT0057,CCNATT0004,Nắng tán xạ / Râm mát
CCNPLT0057,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0058,CCNATT0000,Dracaena dorado
CCNPLT0058,CCNATT0001,Cây phát tài viền vàng
CCNPLT0058,CCNATT0003,Dễ chăm sóc
CCNPLT0058,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0058,CCNATT0005,Thay nước 2 – 3 lần/tháng
CCNPLT0058,CCNATT0006,Chiều cao tổng 40 – 60 cm
CCNPLT0059,CCNATT0000,Pachira aquatica
CCNPLT0059,CCNATT0001,Cây kim ngân
CCNPLT0059,CCNATT0002,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 30cm"
CCNPLT0059,CCNATT0003,Dễ chăm sóc
CCNPLT0059,CCNATT0004,Ánh sáng tán xạ; Nắng trực tiếp
CCNPLT0059,CCNATT0005,Tưới nước 2 lần/tuần
CCNPLT0060,CCNATT0000,Licuala grandis
CCNPLT0060,CCNATT0001,Cọ Nhật
CCNPLT0060,CCNATT0002,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao chậu + cây: 60 cm"
CCNPLT0060,CCNATT0003,Dễ chăm sóc
CCNPLT0060,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0060,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0061,CCNATT0001,Cỏ may mắn
CCNPLT0061,CCNATT0002,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 40cm"
CCNPLT0061,CCNATT0003,Dễ chăm sóc
CCNPLT0061,CCNATT0004,Ánh sáng tán xạ
CCNPLT0061,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0061,CCNATT0007,Hạt thanh long
CCNPLT0062,CCNATT0001,Cỏ may mắn
CCNPLT0062,CCNATT0002,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 40cm"
CCNPLT0062,CCNATT0003,Dễ chăm sóc
CCNPLT0062,CCNATT0004,Ánh sáng tán xạ
CCNPLT0062,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0062,CCNATT0007,Hạt thanh long
CCNPLT0063,CCNATT0000,Chamaedorea elegans
