id_attribute,all_attribute
CCNATT0013,CHẤT LIỆU
CCNATT0014,KIỂU DÁNG
CCNATT0015,GIA CỐ
CCNATT0016,QUY CÁCH SẢN PHẨM (RXC)
CCNATT0017,TRỌNG LƯỢNG
CCNATT0018,MÀU SẮC
CCNATT0019,HOA VĂN
CCNATT0020,HỌA TIẾT
CCNATT0021,KÍCH THƯỚC
CCNATT0022,KÍCH THƯỚC 1 GL
CCNATT0023,KÍCH THƯỚC 3 GL
CCNATT0024,KÍCH THƯỚC 5 GL
CCNATT0025,KÍCH THƯỚC 7 GL
CCNATT0026,KÍCH THƯỚC 2 GL
CCNATT0027,KÍCH THƯỚC 4 GL
CCNATT0028,KÍCH THƯỚC 6 GL
CCNATT0029,KÍCH THƯỚC MIỆNG CHẬU
CCNATT0030,KÍCH THƯỚC ĐÁY CHẬU
CCNATT0031,CHIỀU CAO CHẬU
CCNATT0032,CHIỀU DÀI DÂY CHẬU
CCNATT0033,CÂN NẶNG
CCNATT0034,QUY CÁCH SẢN PHẨM
CCNATT0035,DUNG TÍCH
