POTID,CODE,URL,TIÊU ĐỀ,GIÁ,MÔ TẢ,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0145,DANU053,https://mowgarden.com/chau-dat-nung-tru-dung-van-day-quan-roi-danu053/,Chậu đất nung trụ đứng vân dây quấn rối DANU053,125000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Dây quấn rối,25x19cm,,,,,,,,,,,,,,
CCNPOT0146,DANU052,https://mowgarden.com/chau-dat-nung-tru-dung-tron-danu052/,Chậu đất nung trụ đứng trơn DANU052,20000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Kem đất,,Trơn,11x11cm / 15x15cm / x 20x20cm / 25x25cm,,,,,,,,,,,,,,
CCNPOT0147,DANU050,https://mowgarden.com/chau-dat-nung-tru-dung-tron-mau-kem-dat-danu050/,Chậu đất nung trụ đứng trơn màu kem đất DANU050,20000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Kem đất,,Trơn,11x11cm / 15x15cm / x 20x20cm / 25x25cm,,,,,,,,,,,,,,
CCNPOT0148,DANU049,https://mowgarden.com/chau-dat-nung-bau-tron-van-da-ran-danu049/,Chậu đất nung bâu tròn vân da rắn DANU049,45000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Da rắn,30x30cm / 21x21cm / 15x15cm,,,,,,,,,,,,,,
CCNPOT0149,DANU048,https://mowgarden.com/chau-dat-nung-tru-dung-van-soc-cheo-danu048/,Chậu đất nung trụ đứng vân sọc chéo DANU048,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc chéo,15x13cm,,,,,,,,,,,,,,
CCNPOT0150,DANU047,https://mowgarden.com/chau-dat-nung-tru-dung-van-la-danu047/,Chậu đất nung trụ đứng vân lá DANU047,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Vân lá,15x14cm,,,,,,,,,,,,,,
CCNPOT0151,DANU046,https://mowgarden.com/chau-dat-nung-tru-dung-van-soc-noi-danu046/,Chậu đất nung trụ đứng vân sọc nổi DANU046,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Vân sọc nổi,15x15cm,,,,,,,,,,,,,,
CCNPOT0152,DANU045,https://mowgarden.com/chau-dat-nung-vat-day-mau-trang-nga-danu045/,Chậu đất nung vát đáy màu trắng ngà DANU045,25000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Trắng ngà,,Trơn,13x13cm,,,,,,,,,,,,,,
CCNPOT0153,DANU044,https://mowgarden.com/chau-dat-nung-vat-day-go-mieng-mau-vang-cat-danu044/,Chậu đất nung vát đáy gờ miệng màu trắng ngà DANU044,125000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Trắng ngà,,Trơn,21x27cm / 26x32cm,,,,,,,,,,,,,,
CCNPOT0154,DANU043,https://mowgarden.com/chau-dat-nung-kim-cuong-gan-cheo-danu043/,Chậu đất nung kim cương gân chéo DANU043,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Gân chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0155,DANU042,https://mowgarden.com/chau-dat-nung-hinh-tru-van-quan-roi-danu042/,Chậu đất nung hình trụ vân quấn rối DANU042,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Quấn rối,18x16cm / 25x20cm,,,,,,,,,,,,,,
CCNPOT0156,DANU041,https://mowgarden.com/chau-dat-nung-vat-trung-van-luc-giac-danu041/,Chậu đất nung hình lu vân lục giác DANU041,125000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đậm,,Trơn,24x23cm,,,,,,,,,,,,,,
CCNPOT0157,DANU040,https://mowgarden.com/chau-dat-nung-tron-hinh-tru-mau-nau-dam-danu040/,Chậu đất nung trơn hình trụ màu nâu đậm DANU040,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đậm,,Trơn,15x15cm / 20x20cm,,,,,,,,,,,,,,
CCNPOT0158,DANU039,https://mowgarden.com/chau-dat-nung-marble-hinh-tru-danu039/,Chậu đất nung Marble hình trụ DANU039,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Marble,14x14cm,,,,,,,,,,,,,,
CCNPOT0159,DANU038,https://mowgarden.com/chau-dat-nung-vat-trung-marble-18x18-danu038/,Chậu đất nung vát trứng Marble 18×18 DANU038,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu kem,,Marble,18x18cm,,,,,,,,,,,,,,
CCNPOT0160,DANU037,https://mowgarden.com/chau-dat-nung-vat-trung-gan-soc-danu037/,Chậu đất nung vát trứng gân sọc DANU037,45000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Gân sọc,14x14cm,,,,,,,,,,,,,,
CCNPOT0161,DANU036,https://mowgarden.com/chau-dat-nung-hinh-to-ong-danu036/,Chậu đất nung hình tổ ong DANU036,70000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Tổ ong,17x17cm,,,,,,,,,,,,,,
CCNPOT0162,DANU035,https://mowgarden.com/chau-dat-nung-vat-trung-van-gon-song-danu035/,Chậu đất nung vát trứng vân gợn sóng DANU035,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Gợn sóng,12x11cm,,,,,,,,,,,,,,
