id_category,all_category
CCNCAT0038,Chậu Xi Măng
CCNCAT0039,Kiểu Hình Bầu
CCNCAT0040,Chậu Gốm Sứ
CCNCAT0041,Chậu Cây Cảnh
CCNCAT0042,Chậu Đất Nung
CCNCAT0043,Kiểu Trụ Đứng
CCNCAT0044,Chậu Mini Để Bàn
CCNCAT0045,Chậu Cỡ Lớn
CCNCAT0046,Chậu Cỡ Trung
CCNCAT0047,Kiểu Hình Bầu Tròn
CCNCAT0048,Chậu Cao
CCNCAT0049,Chậu Nhựa
CCNCAT0050,Kiểu Chậu Treo
CCNCAT0051,Kiểu Chậu Vuông
